tipo_temario,termino_ingles,estado_temario,confianza,codigo_HM,termino_semilla,semantica,motivo,decision
SIGN,Cyanosis,ok,alta,HM:0606,Cianosis,hallazgo,cognado exacto,
SIGN,Hemoptysis,ok,alta,HM:0404,Hemoptisis,hallazgo,cognado exacto,
SIGN,Hyperthermia,ok,alta,HM:0101,Fiebre,hallazgo,cognado exacto,
SYNDROME,Anemia,ok,alta,HM:0711,Anemia,hallazgo,cognado exacto,
SYNDROME,Hematuria,ok,alta,HM:0755,Hematuria,hallazgo,cognado exacto,
SYNDROME,Hypothermia,ok,alta,HM:0103,Hipotermia,hallazgo,cognado exacto,
SYNDROME,Splenomegaly,ok,alta,HM:0603,Esplenomegalia,hallazgo,cognado exacto,
SYNDROME,Syncope,ok,alta,HM:0505,Síncope,hallazgo,cognado exacto,
SYNDROME,Thrombocytopenia,ok,alta,HM:0714,Trombocitopenia,hallazgo,cognado exacto,
SYNDROME,Vertigo,ok,alta,HM:0504,Vértigo,hallazgo,cognado exacto,
SIGN,Lymphadenopathy,ok,media,HM:0607,Adenopatías,hallazgo,cognado aproximado (0.93),
SYNDROME,Abdominal,revisar,media,HM:2302,Tomografía abdominal con contraste,procedimiento,cognado aproximado (0.90),
SYNDROME,Hypertension,ok,media,HM:0108,Hipertensión arterial,hallazgo,cognado aproximado (0.91),
SYNDROME,Hypoglycemia,ok,media,HM:0742,Hipoglucemia,hallazgo,cognado aproximado (0.92),
SYNDROME,Hypotension,ok,media,HM:0109,Hipotensión arterial,hallazgo,cognado aproximado (0.90),
DISEASE,Acne Vulgaris,ok,ninguna,,,,,
DISEASE,Actinic Keratosis,ok,ninguna,,,,,
DISEASE,Acute Leukemias,ok,ninguna,,,,,
DISEASE,Asteatotic Eczema,ok,ninguna,,,,,
DISEASE,Atopic Dermatitis,ok,ninguna,,,,,
DISEASE,Basal Cell Carcinoma,ok,ninguna,,,,,
DISEASE,Behçet Syndrome,ok,ninguna,,,,,
DISEASE,Bullous,revisar,ninguna,,,,,
DISEASE,Bullous Pemphigoid,ok,ninguna,,,,,
DISEASE,Candidiasis,ok,ninguna,,,,,
DISEASE,Carcinoma of the Male Breast,ok,ninguna,,,,,
DISEASE,Cat-Scratch Disease,ok,ninguna,,,,,
DISEASE,Chronic Localized,ok,ninguna,,,,,
DISEASE,Chronic Localized Cervical,ok,ninguna,,,,,
DISEASE,Chronic Lymphocytic Leukemia,ok,ninguna,,,,,
DISEASE,Chronic Myelogenous Leukemia,ok,ninguna,,,,,
DISEASE,Contact Dermatitis,ok,ninguna,,,,,
DISEASE,Cushing Disease,ok,ninguna,,,,,
DISEASE,Dengue,ok,ninguna,,,,,
DISEASE,Dermatitis Herpetiformis,ok,ninguna,,,,,
DISEASE,Diabetes,ok,ninguna,,,,,
DISEASE,Diabetes Mellitus Type 1,ok,ninguna,,,,,
DISEASE,Diabetes Mellitus Type 2,ok,ninguna,,,,,
DISEASE,Dyshidrotic Eczema,ok,ninguna,,,,,
DISEASE,Eczema-Dermatitis,ok,ninguna,,,,,
DISEASE,Epithelial Carcinoma,ok,ninguna,,,,,
DISEASE,Erysipeloid,ok,ninguna,,,,,
DISEASE,Erythema Migrans-Lyme Disease,ok,ninguna,,,,,
DISEASE,Essential Thrombocytosis,ok,ninguna,,,,,
DISEASE,Facial Pain-Herpes Zoster,ok,ninguna,,,,,
DISEASE,Genital White Patches-Lichen Sclerosis,ok,ninguna,,,,,
DISEASE,Granuloma Annulare,ok,ninguna,,,,,
DISEASE,Graves Disease (Diffuse Toxic Goiter),ok,ninguna,,,,,
DISEASE,Graves' Ophthalmopathy,ok,ninguna,,,,,
DISEASE,Hereditary Epidermolysis Bullosa,ok,ninguna,,,,,
DISEASE,Herpes Simplex,ok,ninguna,,,,,
DISEASE,HIV and AIDS,ok,ninguna,,,,,
DISEASE,HIV Infection,revisar,ninguna,,,,,
DISEASE,Hodgkin Disease,ok,ninguna,,,,,
DISEASE,Impetigo,ok,ninguna,,,,,
DISEASE,Irregular Spongy Tumor-Cavernous,ok,ninguna,,,,,
DISEASE,Kaposi Sarcoma (KS),ok,ninguna,,,,,
DISEASE,Keratoacanthoma,ok,ninguna,,,,,
DISEASE,Lichen Planus,ok,ninguna,,,,,
DISEASE,Lung Cancer,ok,ninguna,,,,,
DISEASE,Lyme Disease,revisar,ninguna,,,,,
DISEASE,Malaria,ok,ninguna,,,,,
