tipo,termino,estado,motivo,variantes,n_registros
DISEASE,Acne Vulgaris,ok,,,1
DISEASE,Actinic Keratosis,ok,,,2
DISEASE,Acute Leukemias,ok,,,1
DISEASE,Asteatotic Eczema,ok,,,1
DISEASE,Atopic Dermatitis,ok,,,1
DISEASE,Basal Cell Carcinoma,ok,,,1
DISEASE,Behçet Syndrome,ok,,,1
DISEASE,Bullous,revisar,calificador suelto: falta el sustantivo,,1
DISEASE,Bullous Pemphigoid,ok,,,1
DISEASE,Candidiasis,ok,,,1
DISEASE,Carcinoma of the Male Breast,ok,,,1
DISEASE,Cat-Scratch Disease,ok,,,1
DISEASE,Chronic Localized,ok,,,2
DISEASE,Chronic Localized Cervical,ok,,,1
DISEASE,Chronic Lymphocytic Leukemia,ok,,,3
DISEASE,Chronic Myelogenous Leukemia,ok,,,1
DISEASE,Contact Dermatitis,ok,,,1
DISEASE,Cushing Disease,ok,,,1
DISEASE,Dengue,ok,,,1
DISEASE,Dermatitis Herpetiformis,ok,,,1
DISEASE,Diabetes,ok,,,1
DISEASE,Diabetes Mellitus Type 1,ok,,,1
DISEASE,Diabetes Mellitus Type 2,ok,,,1
DISEASE,Dyshidrotic Eczema,ok,,,1
DISEASE,Eczema-Dermatitis,ok,,,1
DISEASE,Epithelial Carcinoma,ok,,,1
DISEASE,Erysipeloid,ok,,,1
DISEASE,Erythema Migrans-Lyme Disease,ok,,,1
DISEASE,Essential Thrombocytosis,ok,,,1
DISEASE,Facial Pain-Herpes Zoster,ok,,,1
DISEASE,Genital White Patches-Lichen Sclerosis,ok,,,1
DISEASE,Granuloma Annulare,ok,,,1
DISEASE,Graves Disease (Diffuse Toxic Goiter),ok,,,1
DISEASE,Graves' Ophthalmopathy,ok,,,1
DISEASE,Hereditary Epidermolysis Bullosa,ok,,,1
DISEASE,Herpes Simplex,ok,,,1
DISEASE,HIV and AIDS,ok,,,1
DISEASE,HIV Infection,revisar,llevaba otra frase pegada,,2
DISEASE,Hodgkin Disease,ok,,,1
DISEASE,Impetigo,ok,,,1
DISEASE,Irregular Spongy Tumor-Cavernous,ok,,,1
DISEASE,Kaposi Sarcoma (KS),ok,,,1
DISEASE,Keratoacanthoma,ok,,,1
DISEASE,Lichen Planus,ok,,,2
DISEASE,Lung Cancer,ok,,,2
DISEASE,Lyme Disease,revisar,llevaba otra frase pegada,,2
DISEASE,Malaria,ok,,,1
DISEASE,Malignant Hyperthermia,ok,,,1
DISEASE,Malignant Melanoma,ok,,,2
DISEASE,Medullary Carcinoma,ok,,,1
DISEASE,Meningococcemia,ok,,,1
DISEASE,Midline Granuloma,ok,,,1
DISEASE,Multiple Myeloma,revisar,llevaba otra frase pegada,,4
DISEASE,Myelofibrosis (Myeloid Metaplasia),ok,,,1
DISEASE,Neurofibromatosis (NF),ok,,,1
DISEASE,Non-Hodgkin Lymphoma,ok,,,1
DISEASE,Nummular Eczema,ok,,,1
DISEASE,Papular Eczema,ok,,,1
DISEASE,Paroxysmal Nocturnal Hemoglobinuria,ok,,,1
DISEASE,Pediculosis-Lice,ok,,,1
DISEASE,Pemphigus vulgaris,ok,,,1
DISEASE,Pernicious Anemia and Vitamin B12,ok,,,1
DISEASE,Pityriasis Rosea,ok,,,1
DISEASE,Polycythemia Vera,ok,,,1
DISEASE,Porphyrias,ok,,,1
DISEASE,Primary,revisar,calificador suelto: falta el sustantivo,,1
DISEASE,Pseudoxanthoma Elasticum,ok,,,1
DISEASE,Psoriasis,ok,,,1
DISEASE,Punctate Red,ok,,,1
DISEASE,Punctate Red Macules-Hereditary Hemorrhagic,ok,,,2
DISEASE,Rabies,ok,,,1
DISEASE,Rheumatic Fever,ok,,,1
DISEASE,Rocky Mountain Spotted Fever,revisar,cortado: acababa en conector,,2
DISEASE,Rosacea,ok,,,1
DISEASE,Scabies,ok,,,1
DISEASE,Scarlet Fever,ok,,,1
DISEASE,Scurvy,ok,,,1
DISEASE,Scurvy. is a vasculopathy that may be confused with vasculitis,revisar,"parece frase, no título; paréntesis sobrante",,1
DISEASE,Seborrheic Dermatitis,ok,,,1
DISEASE,Sickle Cell Disease,ok,,,1
DISEASE,Sporotrichosis,ok,,,1
DISEASE,Squamous Cell Carcinoma,ok,,,1
DISEASE,Superficial Fungal Infections,ok,,,1
DISEASE,Thrombotic,ok,,,1
DISEASE,Tinea Versicolor (Pityriasis Versicolor),ok,,,1
DISEASE,Tuberculosis,ok,,,1
DISEASE,Tuberous Sclerosis,ok,,,1
DISEASE,Typhoid Fever,ok,,,1
DISEASE,Varicella-Zoster,revisar,llevaba otra frase pegada,,3
DISEASE,Variola-Smallpox,ok,,,1
DISEASE,Verrucous Papules-Warts,ok,,,1
DISEASE,von Willebrand Disease,ok,,,1
DISEASE,Waldenström Macroglobulinemia,ok,,,1
DISEASE,Wegener's Granulomatosis,ok,,,1
DISEASE,ẞ-Thalassemia Major,ok,,,1
DISEASE,ẞ-Thalassemia Minor,ok,,,1
SIGN,Abdominal Bruits,ok,,,1
SIGN,Abdominal Pain with Percussion,ok,,,1
SIGN,Abdominal Pain with Percussion and suggests the presence of peritoneal,revisar,"parece frase, no título; paréntesis sobrante",,1
SIGN,Abdominal Wall Mass-Nodular Umbilicus,ok,,,1
SIGN,Abnormal,revisar,calificador suelto: falta el sustantivo,,1
SIGN,Abnormal Balance,revisar,llevaba otra frase pegada,,1
SIGN,Abnormal Corneal Reflex,ok,,,1
SIGN,Abnormal Hearing-Auditory Nerve,revisar,paréntesis sin cerrar,,1
SIGN,Abnormal Nail,ok,,,1
SIGN,Abnormal Pain Sensation,ok,,,1
SIGN,Abnormal Pupils,ok,,,1
SIGN,"Abnormal Pupils, Facial Nerve Signs",ok,,,1
SIGN,Abnormal Sonorous Percussion,ok,,,1
SIGN,Abnormalities of Gaze,revisar,llevaba otra frase pegada,,1
SIGN,Abnormalities of the Thoracic Spine,ok,,,1
SIGN,Abscess of the Greater Vestibular Gland,ok,,,1
SIGN,"Absent Pulses, Pulseless Disease",ok,,,1
SIGN,Acanthosis Nigricans,ok,,,1
SIGN,Accelerated Linear Growth,ok,,,1
SIGN,Acquired Diffuse Brown Skin-Melanism,ok,,,1
SIGN,Acquired Diffuse Yellow Skin,ok,,,2
SIGN,Acquired Nasal Deformities,ok,,,1
SIGN,Actinic Keratoses,ok,,,1
SIGN,Actinic Keratosis,ok,,,1
SIGN,Acute Cervical,ok,,,1
SIGN,Acute Pain with Skin Pallor and Coolness,ok,,,1
SIGN,Acute Pericarditis,ok,,,2
SIGN,Acute Urethritis,ok,,,2
SIGN,Adnexal,ok,,,1
SIGN,Adnexal Mass-Pelvic Inflammatory Disease,revisar,paréntesis sin cerrar,,2
SIGN,Adnexal Tenderness,ok,,,1
SIGN,Alopecia,ok,,,1
SIGN,Altered Normal Reflexes,ok,,,1
SIGN,Ambiguous Genitalia-Intersexuality,ok,,,1
SIGN,Amnesia,ok,,,1
SIGN,Amphoric Breathing,ok,,,1
SIGN,Anal Stricture,ok,,,1
SIGN,Angioedema,ok,,,1
SIGN,Anosmia,ok,,,3
SIGN,Anosmia-Olfactory Nerve (CN I),ok,,,1
SIGN,Anterior Knee Pain,ok,,,1
SIGN,Anuria and Oliguria,ok,,,1
SIGN,Aortic Insufficiency,revisar,paréntesis sin cerrar,,1
SIGN,Aortic Valve Sclerosis,ok,,,1
SIGN,Aphthous Ulcer (Canker Sore),ok,,,1
SIGN,Apical Impulse,ok,,,1
SIGN,Arcus Senilis,ok,,,1
SIGN,Argyll Robertson Pupil,ok,,,1
SIGN,Arterial Murmur or Bruit,ok,,,1
SIGN,Arterial Occlusion,ok,,,1
SIGN,Arteriolar Sclerosis,ok,,,1
SIGN,Ascites,revisar,llevaba otra frase pegada,,4
SIGN,Asterixis,ok,,,1
SIGN,Atheroembolic Disease,ok,,,1
SIGN,Austin Flint Murmur,ok,,,1
SIGN,Basal Systolic Murmurs-Benign Murmurs,ok,,,1
SIGN,Behçet's Syndrome,ok,,,1
SIGN,Bigeminy (Coupled Rhythm),ok,,,1
SIGN,Bilateral Visual Field Defects-Hemianopsia,ok,,,1
SIGN,Bladder/Bowel Function,ok,,,1
SIGN,Bleeding Gums,ok,,,1
SIGN,Blood Pressure Regulation,ok,,,2
SIGN,Bloody Sputum: Hemoptysis,ok,,,1
SIGN,Blue-Grey Color,ok,,,1
SIGN,Bounding or Collapsing Pulse,revisar,paréntesis sin cerrar,,1
SIGN,Breast Masses,ok,,,1
SIGN,Breast Tenderness,ok,,,1
SIGN,Breast Tenderness for a discussion of common breast masses,revisar,"parece frase, no título",,1
SIGN,Breath Odor,ok,,,1
SIGN,Bronchial Breathing (Tubular Breathing),ok,,,1
SIGN,Bronchovesicular Breathing,ok,,,1
SIGN,Buccal,ok,,,1
SIGN,Buccal Pigmentation-Addison Disease,ok,,,1
SIGN,Bulimia,ok,,,1
SIGN,Cancer Chemotherapy-Mucositis,ok,,,1
SIGN,"Cannon ""a"" Waves-AV Asynchrony",ok,,,1
SIGN,Carbuncle,ok,,,1
SIGN,Carcinoma,ok,,,2
SIGN,Carcinoma of the Lip,ok,,,1
SIGN,Carcinoma of the Penis,ok,,,1
SIGN,Carotenemia,ok,,,1
SIGN,Cataract,ok,,,1
SIGN,Catatonia,ok,,,1
SIGN,Cerebrospinal Rhinorrhea,ok,,,1
SIGN,Cerumen Impaction,ok,,,1
SIGN,Cheilosis (Angular Stomatitis),ok,,,1
SIGN,Chest,revisar,cortado: acababa en conector,,1
SIGN,Chest and Respiratory Pain,revisar,cortado: acababa en conector,,1
SIGN,Chest and Respiratory Pain with Tenderness,ok,,,1
SIGN,Chest Pain with Dysesthesia-Herpes,ok,,,1
SIGN,Cicatricial Pemphigoid,ok,,,1
SIGN,Clubbing of the Fingers,ok,,,1
SIGN,Coarctation of Aorta,ok,,,1
SIGN,Coarctation of the Aorta,revisar,cortado: acababa en conector,,2
SIGN,Coccygeal Sinus (Pilonidal Sinus),revisar,llevaba otra frase pegada; paréntesis sobrante,Coccygeal Sinus (Pilonidal Sinus,2
SIGN,Comitant Strabismus,ok,,,1
SIGN,Conduction,ok,,,1
SIGN,Conductive,ok,,,1
SIGN,Condyloma Acuminatum,revisar,paréntesis sin cerrar,,1
SIGN,Condyloma Latum,ok,,,1
SIGN,Conjugate Failure of Lateral Gaze,ok,,,1
SIGN,Conjugate Failure of Vertical Gaze,ok,,,1
SIGN,Conjunctival Edema-Chemosis,ok,,,1
SIGN,Conjunctival Injection,ok,,,1
SIGN,Conjunctivitis,ok,,,1
SIGN,Continuous Murmur,ok,,,1
SIGN,Costovertebral Tenderness,ok,,,1
SIGN,"Coupled Rhythm: Bigeminy, Trigeminy",ok,,,1
SIGN,Crackles (Rales),ok,,,1
SIGN,Crepitus,ok,,,1
SIGN,Cutaneous Hyperesthesia and Allodynia,ok,,,1
SIGN,Cutaneous Scars and Striae,ok,,,1
SIGN,Cyanosis,ok,,,3
SIGN,Cysts,ok,,,1
SIGN,Dacryoadenitis,ok,,,1
SIGN,Dacryocystitis,ok,,,1
SIGN,Decreased or Absent Peristaltic Sounds,ok,,,1
SIGN,Decreased Respiratory Rate-Bradypnea,ok,,,1
SIGN,Decreased Skin Elasticity,ok,,,1
SIGN,Decreased Skin Turgor-Extracellular Fluid,ok,,,1
SIGN,Deep Breathing-Hyperpnea,revisar,paréntesis sin cerrar,,1
SIGN,Deficits of Arm Abduction,ok,,,1
SIGN,Deformed Foot,ok,,,1
SIGN,Deformity of the Second to Fifth Toes,ok,,,1
SIGN,Dental Ulcer,ok,,,1
